rowid,exercise_name,youtube_video_id,youtube_url,title,channel,duration_seconds,tags_matched,matched_tag,selection_reason
25,Arm Circles,3STTSi_jdHk,https://www.youtube.com/shorts/3STTSi_jdHk,How To Arm Circles | Nuffield Health,Nuffield Health,36,true,arm circles,tag-match+title-match+<=60s+positives+channel-quality+llm-accept
26,Arnold Dumbbell Press,KN2Ne9r4J-o,https://www.youtube.com/shorts/KN2Ne9r4J-o,Arnold Dumbbell Press workout: How to do it#short,Coach Rommel,38,true,arnold dumbbell press,tag-match+title-match+<=60s+positives+negatives
27,Around The Worlds,w_Pplr0hI1s,https://www.youtube.com/shorts/w_Pplr0hI1s,How to Perform Around the Worlds - Chest Exercise Tutorial,Buff Dudes,92,true,around the worlds,tag-match+title-match+positives+channel-quality+>60s-penalty+llm-accept
28,Atlas Stone Trainer,tu7o7-j2pQk,https://www.youtube.com/shorts/tu7o7-j2pQk,Strongman Stone Training Session - Brian Shaw Natural (not atlas) Stone Training,SHAWSTRENGTH,53,false,,<=60s+positives+negatives+channel-quality+weak-title
29,Atlas Stones,t1d0G5VyPRU,https://www.youtube.com/shorts/t1d0G5VyPRU,How to Lift Atlas Stones,Kasey's Home Gym,59,true,atlas stones,tag-match+title-match+<=60s+positives
30,Axle Deadlift,QWqbqNoCrNY,https://www.youtube.com/shorts/QWqbqNoCrNY,"Axle Deadlift, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,37,true,axle deadlift,tag-match+title-match+<=60s+positives+negatives
31,Back Flyes - With Bands,ZNmqeEnU6Ho,https://www.youtube.com/shorts/ZNmqeEnU6Ho,✅️Demon Back Workout🔥 #shorts,Gahlot Harsh,10,false,,shorts-signal+<=60s+positives+channel-quality+weak-title
32,Backward Drag,PNlmowto-Qk,https://www.youtube.com/shorts/PNlmowto-Qk,KIP UP TUTORIAL | STEP BY STEP TIPS #shorts,Trevor Hannant,15,false,,shorts-signal+<=60s+positives+channel-quality+weak-title
33,Backward Medicine Ball Throw,fU1O_5bfFXY,https://www.youtube.com/shorts/fU1O_5bfFXY,Backward Medicine Ball Throw,Testosterone Nation,13,true,backward medicine ball throw,tag-match+title-match+<=60s+negatives+channel-quality+no-positive-signal
34,Balance Board,lLUOjnRyBpM,https://www.youtube.com/shorts/lLUOjnRyBpM,Balance Board Exercise | Stationary Lunge Beginner,Whirly Board,13,true,balance board,tag-match+title-match+<=60s+positives+negatives
35,Ball Leg Curl,Lh3iMIcbkBQ,https://www.youtube.com/shorts/Lh3iMIcbkBQ,Grow Your Hamstrings 1.5x Faster (New Research),Jeff Nippard,50,false,,shorts-signal+<=60s+channel-quality+weak-title
36,Band Assisted Pull-Up,YnljPuIRrgo,https://www.youtube.com/shorts/YnljPuIRrgo,How to Do Band Assisted Pull-Ups the Right Way,White Lion Strong-Gym,41,true,bandassistedpullup,tag-match+title-match+<=60s+positives
37,Band Good Morning,S1S3JHNmEAA,https://www.youtube.com/shorts/S1S3JHNmEAA,Band Good Morning: How To (3 steps to proper form),Born Fitness,33,true,band good morning,tag-match+title-match+<=60s+positives+negatives+channel-quality
38,Band Good Morning (Pull Through),tb7JtugjLQ8,https://www.youtube.com/shorts/tb7JtugjLQ8,"Band Good Morning Pull Through, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,37,true,band good morning pull through,tag-match+title-match+<=60s+positives+negatives
39,Band Hip Adductions,01HilwRf8m8,https://www.youtube.com/shorts/01HilwRf8m8,How To Use The Seated Hip Abductor Machine For Bigger GLUTES,Gerardi Performance,16,false,,<=60s+positives+channel-quality+weak-title
40,Band Pull Apart,eZwnwWMkEL4,https://www.youtube.com/shorts/eZwnwWMkEL4,Band Pull-Apart Exercise | Onnit Tutorials,Onnit,11,true,band pull apart,tag-match+title-match+<=60s+positives+negatives+channel-quality
41,Band Skull Crusher,4FWMMVhdBg8,https://www.youtube.com/shorts/4FWMMVhdBg8,Skull Crushers | How To | Proper Form & Technique,FITTR,62,true,band skull crusher,tag-match+<=60s+positives+negatives+channel-quality
42,Barbell Ab Rollout,8CIm5KBLInA,https://www.youtube.com/shorts/8CIm5KBLInA,Barbell Core&Upper Body Exercise: Barbell Knee Ab Rollouts,Dalibor Petrinic,19,false,,title-match+<=60s+positives+channel-quality
43,Barbell Ab Rollout - On Knees,PqFBHW7RSeg,https://www.youtube.com/shorts/PqFBHW7RSeg,How To Barbell Roll Out,Fit Mensa,16,true,barbell ab rollout on knees,tag-match+<=60s+positives+negatives
44,Barbell Bench Press - Medium Grip,hWbUlkb5Ms4,https://www.youtube.com/shorts/hWbUlkb5Ms4,How To Bench Press With Perfect Technique (5 Steps),Jeff Nippard,51,false,,<=60s+positives+channel-quality+weak-title
45,Barbell Curl,8KpHMyQnKIk,https://www.youtube.com/shorts/8KpHMyQnKIk,Barbell Curls Demonstration For Beginners - (How To) Bicep Exercises - Proper Form #barbellcurls,T.H.E. Fitness,23,true,barbell curl,tag-match+title-match+<=60s+positives+negatives+channel-quality
46,Barbell Curls Lying Against An Incline,VCw_uIxW8WE,https://www.youtube.com/shorts/VCw_uIxW8WE,STOP Doing This On Bicep Curls!,ATHLEAN-X™,40,false,,<=60s+positives+negatives+channel-quality+weak-title
47,Barbell Deadlift,ZaTM37cfiDs,https://www.youtube.com/shorts/ZaTM37cfiDs,How To Deadlift With Perfect Technique (Step By Step),Jeff Nippard,56,true,barbell deadlift,tag-match+<=60s+positives+negatives+channel-quality
48,Barbell Full Squat,YXzcrpZwa3A,https://www.youtube.com/shorts/YXzcrpZwa3A,Their Coach Teaches Perfect Squat Form🔥,Squat University,59,false,,<=60s+positives+channel-quality+weak-title
49,Barbell Glute Bridge,DQv1IMQDbE4,https://www.youtube.com/shorts/DQv1IMQDbE4,How To Do A Barbell Glute Bridge,PureGym,22,true,barbell glute bridge,tag-match+title-match+<=60s+positives+negatives+channel-quality
50,Barbell Guillotine Bench Press,I2doN0IQhHo,https://www.youtube.com/shorts/I2doN0IQhHo,"Barbell Guillotine Bench Press, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,44,true,barbell guillotine bench press,tag-match+title-match+<=60s+positives+negatives
51,Barbell Hack Squat,DTIJqe7j4j0,https://www.youtube.com/shorts/DTIJqe7j4j0,How to Perform Barbell Hack Squat – Justin Woltering,Consumer Health Digest,62,true,barbell hack squat,tag-match+title-match+<=60s+positives+negatives+channel-quality
52,Barbell Hip Thrust,W86oVlnLqY4,https://www.youtube.com/shorts/W86oVlnLqY4,How to Properly Perform Barbell Hip Thrusts With Good Form (Perfect Set Up And Exercise Tutorial),Gerardi Performance,37,true,barbell hip thrust,tag-match+title-match+<=60s+positives+negatives+channel-quality+llm-accept
53,Barbell Incline Bench Press - Medium Grip,0cXAp6WhSj4,https://www.youtube.com/shorts/0cXAp6WhSj4,The PERFECT Bench Press (5 Steps),Jeremy Ethier,58,false,,shorts-signal+<=60s+positives+channel-quality+weak-title+llm-accept
55,Barbell Lunge,sWVeFUVcsuQ,https://www.youtube.com/shorts/sWVeFUVcsuQ,You’ll LOVE Doing Lunges After This…,ATHLEAN-X™,34,true,barbell lunge,tag-match+<=60s+positives+negatives+channel-quality+llm-accept
56,Barbell Rear Delt Row,XagV4XfG9fo,https://www.youtube.com/shorts/XagV4XfG9fo,Barbell Rear Delt Row - Shoulder Exercise - Bodybuilding.com,Bodybuilding.com,54,false,,title-match+<=60s+positives+negatives+channel-quality+llm-accept
57,Barbell Rollout from Bench,rI6VMheAQpE,https://www.youtube.com/shorts/rI6VMheAQpE,Barbell Rollout From Bench,My PT Hub,27,false,,title-match+<=60s+channel-quality+no-positive-signal+llm-accept
58,Barbell Seated Calf Raise,xSrUn0BFUWA,https://www.youtube.com/shorts/xSrUn0BFUWA,Seated Calf Raise Form,Mike Doyle,19,false,,<=60s+positives+weak-title+llm-accept
59,Barbell Shoulder Press,G2qpTG1Eh40,https://www.youtube.com/shorts/G2qpTG1Eh40,Standing Barbell Shoulder Press,Renaissance Periodization,11,false,,title-match+<=60s+channel-quality+no-positive-signal+llm-accept
60,Barbell Shrug,qorFhWDvp0g,https://www.youtube.com/shorts/qorFhWDvp0g,How To Build Bigger Traps (2 TIPS!),Sean Nalewanyj Shorts,24,true,barbell shrug,tag-match+<=60s+positives+channel-quality+llm-accept
61,Barbell Shrug Behind The Back,OoUQRw91D94,https://www.youtube.com/shorts/OoUQRw91D94,How to - Barbell Shrug Behind The Back,U.S. Forces Fitness,42,false,,title-match+<=60s+positives+channel-quality+llm-accept
63,Barbell Side Split Squat,o7yFuIR9XVU,https://www.youtube.com/shorts/o7yFuIR9XVU,Bulgarian Split Squats Made Easy (FORM FIX),ATHLEAN-X™,59,false,,shorts-signal+<=60s+positives+negatives+channel-quality+weak-title+llm-accept
65,Barbell Squat To A Bench,YXzcrpZwa3A,https://www.youtube.com/shorts/YXzcrpZwa3A,Their Coach Teaches Perfect Squat Form🔥,Squat University,59,false,,<=60s+positives+channel-quality+weak-title
76,Bench Sprint,fC4GiRdITqE,https://www.youtube.com/shorts/fC4GiRdITqE,How To Do A BENCH SPRINT | Exercise Demonstration Video and Guide,Live Lean TV Daily Exercises,31,true,bench sprint,tag-match+title-match+<=60s+positives+negatives+channel-quality
77,Bent-Arm Barbell Pullover,ipLv1ScJBuo,https://www.youtube.com/shorts/ipLv1ScJBuo,"Bent Arm Barbell Pullover, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,50,true,bent arm barbell pullover,tag-match+title-match+<=60s+positives+negatives+llm-accept
78,Bent-Arm Dumbbell Pullover,aglCCNdFwlk,https://www.youtube.com/shorts/aglCCNdFwlk,"Bent Arm Dumbbell Pullover, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,37,true,bent arm dumbbell pullover,tag-match+title-match+<=60s+positives+negatives+llm-accept
79,Bent-Knee Hip Raise,6KtB0uwu1xY,https://www.youtube.com/shorts/6KtB0uwu1xY,Supine Bent Knee Hip Raises with a Twist - Silent Demonstration,Kris Richie Fitness,45,false,,title-match+<=60s+positives+negatives+channel-quality+llm-accept
80,Bent Over Barbell Row,qXrTDQG1oUQ,https://www.youtube.com/shorts/qXrTDQG1oUQ,Bent-Over Barbell Row | Proper Form for a Bigger Back,Moorefitcoach,54,true,bent over barbell row,tag-match+title-match+<=60s+positives+llm-accept
81,Bent Over Dumbbell Rear Delt Raise With Head On Bench,yVdMZVia504,https://www.youtube.com/shorts/yVdMZVia504,"Bent Over Dumbbell Rear Delt Raise with Head on Bench, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,33,true,bent over dumbbell rear delt raise with head on bench,tag-match+title-match+<=60s+positives+negatives+llm-accept
82,Bent Over Low-Pulley Side Lateral,ooVMsj9Dwl8,https://www.youtube.com/shorts/ooVMsj9Dwl8,"Bent Over Low Pulley Side Lateral, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,41,true,bent over low pulley side lateral,tag-match+title-match+<=60s+positives+negatives+llm-accept
83,Bent Over One-Arm Long Bar Row,_kNVqI1liLk,https://www.youtube.com/shorts/_kNVqI1liLk,"Bent Over One Arm Long Bar Row, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,30,true,bent over one arm long bar row,tag-match+title-match+<=60s+positives+negatives+llm-accept
84,Bent Over Two-Arm Long Bar Row,O2V58mCnmQc,https://www.youtube.com/shorts/O2V58mCnmQc,How To Do Bent Over Two Arm Long Bar Row | Exercise Demo,OriGym,51,true,bent over two arm long bar row,tag-match+title-match+<=60s+positives+negatives+channel-quality+llm-accept
85,Bent Over Two-Dumbbell Row,6ZcTpaQKY2w,https://www.youtube.com/shorts/6ZcTpaQKY2w,📌HOW TO DO DUMBBELL BEND OVER ROW,SquatCouple,23,false,,<=60s+positives+channel-quality+weak-title+llm-accept
86,Bent Over Two-Dumbbell Row With Palms In,6ZcTpaQKY2w,https://www.youtube.com/shorts/6ZcTpaQKY2w,📌HOW TO DO DUMBBELL BEND OVER ROW,SquatCouple,23,false,,<=60s+positives+channel-quality+weak-title+llm-accept
