id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment,standardized_name,standardized_primary_muscle,standardized_secondary_muscle,standardization_notes
6495,Bodyweight Dead Bug,https://youtu.be/jbWmbhElf3Q,https://youtu.be/g_BYB0R-4Ws,Beginner,Abdominals,Rectus Abdominis,Obliques,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Bodyweight,Dead Bug,Abs,Obliques,Core anti-extension exercise with limb movement
6496,Bodyweight Alternating Heel Taps,https://youtu.be/URWXz0DmE7s,https://youtu.be/IVppNiu0hvw,Beginner,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Heel Taps,Obliques,Abs,Oblique activation exercise lying on back
6497,Bodyweight Flutter Kicks,https://youtu.be/e_s7uBNPnow,https://youtu.be/DNx0PYv7_L8,Beginner,Hip Flexors,Iliopsoas,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Flutter Kicks,Hip Flexors,Abs,Low-amplitude leg raises targeting hip flexors
6498,Bodyweight Kneeling Forearm Plank,https://youtu.be/Ns1NS9ThNhI,https://youtu.be/5HyOjaj7atU,Beginner,Abdominals,Rectus Abdominis,,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Bodyweight,Forearm Plank (Kneeling),Abs,,Core isometric hold on forearms and knees
6499,Bodyweight Seated Ab Circles,https://youtu.be/GflQ_ymx9Nw,,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Seated Ab Circles,Abs,,Rotational core exercise in seated position
6500,Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Hanging Oblique Knee Raise,Obliques,Abs,Targeted oblique exercise using rings
6501,Stability Ball Stir the Pot,https://youtu.be/IfOtFv6zz8I,https://youtu.be/FpH1C25VyXE?si=hAzBuHZIBIX0MG4j,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Stir the Pot on Stability Ball,Abs,,Dynamic core stability exercise on hands
6502,Bodyweight Alternating Lateral Kick Through,https://youtu.be/1jCudOtlLsc,https://youtu.be/86NNY5U6jqk,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Animal Flow,2025-08-10 01:02:43.832216+00,Bodyweight,Lateral Kick-Through,Abs,,Dynamic core movement with leg sweep
6503,Ring Hanging L Sit Flutter Kicks,https://youtu.be/Y7Ua1YRsqd0,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Hanging L-Sit Flutter Kicks,Hip Flexors,Abs,Advanced core and hip flexor exercise
6504,Slam Ball Russian Twist,https://youtu.be/qyZ0pAtgo_Y,,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Slam Ball,Russian Twist with Slam Ball,Obliques,Abs,Weighted rotational core exercise
6505,Dumbbell Crush Grip Otis Up,,,Novice,Abdominals,Rectus Abdominis,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Crush Grip Sit-Up,Abs,Abs,Sit-up with dumbbell held vertically against chest
6506,Single Arm Dumbbell Side Plank Reach Through,https://youtu.be/Ec9Ymqhe5i4,,Advanced,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Side Plank with Reach-Through,Obliques,Abs,Dynamic oblique exercise with anti-rotation challenge
6507,Ab Wheel Kneeling Rollout,https://youtu.be/QB2Gj1QGfjQ,https://youtu.be/A3uK5TPzHq8,Novice,Abdominals,Rectus Abdominis,Latissimus Dorsi,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Ab Wheel,Ab Wheel Rollout (Kneeling),Abs,Lats,Advanced core anti-extension exercise
6508,Cable Seated Crunch,https://youtu.be/gQT76pz_X9Y,https://youtu.be/vg1KU7HNbyw,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable,Cable Seated Crunch,Abs,Hip Flexors,Weighted crunch using cable machine
6509,Cable Kneeling Crunch,https://youtu.be/ToJeyhydUxU,https://youtu.be/vsAPBAg0fb0,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable,Cable Kneeling Crunch,Abs,Hip Flexors,Kneeling crunch with cable resistance
6510,Medicine Ball V Up,https://youtu.be/E0WFCTnN728?si=YvTVZvOCRm_hjh2B,https://youtu.be/7MY2agzydDw,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Medicine Ball,Medicine Ball V-Up,Abs,Hip Flexors,Full sit-up motion with medicine ball
6511,Suspension Knee Tuck,https://youtu.be/z2tctrNfTrY,https://youtu.be/EXIJ4dILenc,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Suspension Trainer,Suspension Knee Tuck,Abs,,Core exercise using suspension trainer
6512,Suspension Lateral Knee Tuck,https://youtu.be/nedEXGnhHak,https://youtu.be/Jz9UDCeyuBo,Intermediate,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Suspension Trainer,Lateral Knee Tuck on Suspension,Abs,,Oblique-focused variation of knee tuck
6513,Suspension Archer Row,https://youtu.be/O0wf46CgVZg,,Novice,Shoulders,Posterior Deltoids,,Upper Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Suspension Trainer,Archer Row on Suspension,Rear Delts,,Unilateral row targeting rear delts
6514,Single Arm Dumbbell Turkish Get Up,https://youtu.be/saYKvqSscuY,https://youtu.be/MlDLOiN42d4,Intermediate,Abdominals,Obliques,Rectus Abdominis,Full Body,Unilateral,Grinds,2025-08-10 01:02:43.832216+00,Dumbbell,Turkish Get-Up (Single Arm),Obliques,Abs,Full-body movement with core stabilization
6515,Bodyweight Bear Crawl,https://youtu.be/8y-C1wUb-3c,https://youtu.be/Wgt1vdZ_YYk,Novice,Abdominals,Rectus Abdominis,,Core,Contralateral,Animal Flow,2025-08-10 01:02:43.832216+00,Bodyweight,Bear Crawl,Abs,,Quadrupedal locomotion for core engagement
6516,Stability Ball Knee Tuck,https://youtu.be/Q8MnsYG5sbk?si=8Aln2doES1PVTKQP,https://youtu.be/PbCgRWzQPc8,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Stability Ball Knee Tuck,Abs,,Core exercise rolling ball toward body
6517,Ring Hanging Leg Raise,https://youtu.be/IMWzJ7zkklA,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Hanging Leg Raise,Abs,Hip Flexors,Straight leg raise for lower abs
6518,Parallette L Sit,https://youtu.be/lLu9U0G7Ogw,https://youtu.be/rzK07x9QeNY,Advanced,Abdominals,Rectus Abdominis,,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars,L-Sit on Parallettes,Abs,,Bodyweight skill requiring core strength
6519,Bodyweight Standing Walkout Plank,https://youtu.be/R6SMJ-TzgZo,https://youtu.be/R6SMJ-TzgZo,Intermediate,Abdominals,Rectus Abdominis,,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Bodyweight,Standing Walkout to Plank,Abs,,Dynamic movement from stand to plank
6520,Ring Eccentric Pull Up,https://youtu.be/4vEoBieXyKk,,Novice,Back,Latissimus Dorsi,,Upper Body,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Eccentric Pull-Up on Rings,Lats,,Pull-up focusing on lowering phase
6521,Barbell Climb,,https://youtu.be/1bBP54xKHbQ,Expert,Abdominals,Rectus Abdominis,,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Barbell,Barbell Roll-Out or Barbell Crawl,Abs,,Uncommon name; likely refers to ab rollout
6522,Bodyweight Ipsilateral Bird Dog,https://youtu.be/8e1m4FNO7t8,,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,Core,Ipsilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Ipsilateral Bird Dog,Abs,Glutes,Bird dog with same-side limb raise
6523,Bodyweight Copenhagen Plank Knee to Elbow,,https://youtu.be/DrSAMHlAk4I,Advanced,Adductors,Adductor Magnus,,Lower Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Copenhagen Plank with Knee-to-Elbow,Adductors,,Adductor-focused plank variation
6524,Ring Eccentric Chin Up,https://youtu.be/QvgPN5XfDX8?si=0U64Q99rkmh8yNmO,https://youtu.be/Gh3vyrtzkmY,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,Upper Body,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Eccentric Chin-Up on Rings,Biceps,Lats,Chin-up emphasizing controlled descent
6525,Single Arm Dumbbell Seated Shoulder External Rotation,https://youtu.be/HeY0G79zbGA?si=qV6g26pqatUMpDew,https://youtu.be/XKCfeJp4Qo0,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Upper Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Seated Dumbbell External Rotation,Rear Delts,Infraspinatus,Shoulder rotator cuff exercise
6526,Double Dumbbell Seated Cuban Rotation,https://youtu.be/oYGHjG0jZuA,https://youtu.be/Ia8KK_P8r6Y,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Upper Body,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Seated Cuban Press (Double Dumbbell),Rear Delts,Infraspinatus,Rotator cuff strengthening exercise
6527,Double Dumbbell Cuban Rotation,https://youtu.be/_Cfrbn8dxH4,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Upper Body,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Cuban Press (Double Dumbbell),Rear Delts,Infraspinatus,Commonly known as Cuban press
6528,Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,https://youtu.be/Ff4Dg3T4pNQ?si=xU9cm-kpyPdrIwA0,https://youtu.be/eM0V87yceog,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Upper Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable,Cable External Rotation (Half-Kneeling),Rear Delts,Infraspinatus,Rotator cuff exercise with cable resistance
6529,Miniband Fire Hydrant,https://youtu.be/gnzypKUFU6Y,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Miniband,Fire Hydrant with Miniband,Glutes,Glute Medius,Hip abduction exercise targeting glutes
6530,Medicine Ball Russian Twist,https://youtu.be/vT8p57mXVDo?feature=shared,https://youtu.be/5BF32n07JBY,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Medicine Ball,Russian Twist with Medicine Ball,Obliques,Abs,Weighted rotational core exercise
6531,Bodyweight Side Plank,https://youtu.be/_R389Jk0tIo,https://youtu.be/rCxF2nG9vQ0,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Bodyweight,Side Plank,Obliques,Abs,Isometric core exercise targeting obliques
6532,Cable Reverse Crunch,https://youtu.be/3Mn_4KTDTi0?si=3zBBQ33AQDN7XPp4,https://youtu.be/Ss3G7RnIjV4,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable,Cable Reverse Crunch,Abs,Hip Flexors,Reverse crunch using cable machine
6533,Cable Rope Half Kneeling High to Low Chop,https://youtu.be/hUbRkz4AxkE,https://youtu.be/KOh8cxe2ziE,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable,High-to-Low Cable Chop,Obliques,Abs,Diagonal core rotation exercise
6534,Cable Rope Half Kneeling Low to High Chop,https://youtu.be/48LIxDpby_E?feature=shared,https://youtu.be/AA7q2T4IOCk,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable,Low-to-High Cable Chop,Obliques,Abs,Diagonal core rotation from low to high
6535,Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Sliders,Overhead Lateral Lunge with Kettlebells,Quadriceps,Glutes,Simplified name focusing on movement and load placement
6536,Cable Rope Staggered Stance High to Low Chop,https://youtu.be/FFaeQW7hwYs?feature=shared,https://youtu.be/jnG8cjO0fMQ?si=8rvMJWRgsZskHMP9,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable,Cable High to Low Chop,Obliques,Abs,Standard name for rotational core exercise
6537,Cable Rope Staggered Stance Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable,Cable Low to High Chop,Obliques,Abs,Common name for diagonal rotational core movement
6538,Single Arm Dumbbell Windmill,https://youtu.be/EVLXzqAzAHI,https://youtu.be/0gMRrtTN5OE?si=UAizRA3GShfFTChg,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Dumbbell Windmill,Obliques,Abs,Well-known core and shoulder stability exercise
6539,Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Sliders,Front Rack Lateral Lunge with Kettlebells,Quadriceps,Glutes,Emphasizes front rack position and lunge pattern
6540,Slider Double Kettlebell Front Rack Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Sliders,Front Rack Lateral Lunge with Kettlebells,Quadriceps,Glutes,"Same as above, simplified for consistency"
6541,Bodyweight Feet On Wall Mountain Climber,https://youtu.be/jGwHfj957eU?si=i-ZtryUkm2Geud9J,https://youtu.be/OcGkhubaWzE,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Bodyweight,Suitcase Reverse Lunge with Kettlebells,Quadriceps,Glutes,Unilateral lower body exercise with lateral load
6542,Slider Double Kettlebell Suitcase Reverse Lunge,https://youtu.be/1SlpUMsiiiw?si=WnEVv0WTROHdU4eR,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Sliders,Feet Elevated Mountain Climber,Abs,Hip Flexors,Increased core demand due to elevated feet
6543,Bodyweight Hollow Body Hold,https://youtu.be/4xRpGgttca8,https://youtu.be/hf00_b2sRdc,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Hollow Body Hold,Abs,,Standard gymnastics core stability hold
6544,Dumbbell Crush Grip Hollow Body Hold,https://youtu.be/Wo-pGZst6l0,,Intermediate,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Hollow Body Hold with Dumbbell,Abs,,Added resistance to hollow hold
6545,Bar Inverted Hanging Crunch,https://youtu.be/LXQTkeYPki8,https://youtu.be/gQbe4jcqfEA,Expert,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Pull Up Bar,Hanging Leg Raise,Abs,Hip Flexors,Common name for hanging knee/leg raises
6546,Bodyweight Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Hanging Oblique Crunch,Obliques,Abs,Targets obliques with lateral movement
6547,Slider Double Kettlebell Front Rack Reverse Lunge,https://youtu.be/-p1l0vXTtAU?si=ebEJZJZkoWYTDFbC,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Sliders,Front Rack Reverse Lunge with Kettlebells,Quadriceps,Glutes,Reverse lunge with front rack loading
6548,Bodyweight Supine Alternating Single Leg Raise,https://youtu.be/IUCoqgdvDxU?si=8xtgp1M-mJqke2mR,https://youtu.be/TJITvui4Wwo,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Alternating Leg Raise,Abs,Hip Flexors,Core exercise with alternating leg movement
6549,Bodyweight Supine Leg Raise,https://youtu.be/q0JVBRHoLz4,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Leg Raise,Abs,Hip Flexors,Basic supine leg raise for abs
6550,Miniband Bicycle Crunch,https://youtu.be/q_c5MFYuza4,https://youtu.be/i5hJzH1AhRw,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Miniband,Bicycle Crunch with Miniband,Obliques,Abs,Adds resistance to standard bicycle crunch
6551,Bodyweight Side Plank Reach Through,https://youtu.be/7lfNb_zydvQ,https://youtu.be/-ruAdV34H54,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Bodyweight,Side Plank with Reach,Obliques,Abs,Dynamic side plank variation
6552,Bodyweight Sit Up,https://youtu.be/bT8NVeDvuQg?si=paUR-bam-jwd-xPx,https://youtu.be/-WSon5E798w,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Sit-Up,Abs,,Classic abdominal exercise
6553,Bodyweight Butterfly Sit Up,https://youtu.be/ZLyOWSPnVrM,https://youtu.be/hdXsuDt2PKE,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Butterfly Sit-Up,Abs,,Sit-up with legs in butterfly position
6554,Slider Mountain Climber,https://youtu.be/fjHQIVIPLHY,https://youtu.be/jNoFTnT6QEg?si=Ifucn1FF5b_Hxnq5&utm_source=MTQxZ,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Sliders,Mountain Climber on Sliders,Abs,Hip Flexors,Increased range of motion with sliders
6555,Slider Pike,https://youtu.be/vB803WCcQDk?si=hXUn4t23jP7Bn6R8,https://youtu.be/dIhjNYsITbc,Advanced,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Sliders,Pike with Sliders,Abs,,Sliders increase difficulty of pike movement
6556,Stability Ball Pike,https://youtu.be/-ciDJCuTu3A?si=zpBNDJ0Pbp7YfJOm,https://youtu.be/eFcjeQ9tuEQ,Advanced,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Stability Ball Pike,Abs,,Advanced core exercise using stability ball
6557,Slider Wide Mountain Climber,https://youtu.be/d64d_6PE9fY,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Sliders,Wide Stance Mountain Climber on Sliders,Abs,Hip Flexors,Wider stance increases core challenge
6558,Stability Ball Crunch,https://youtu.be/O4d3kd1ZLyc?si=xAr_I7jNLwrDm7lL,https://youtu.be/sUMW-xhzI84,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Stability Ball Crunch,Abs,Hip Flexors,Standard crunch on stability ball
6559,Stability Ball Feet Elevated Oblique Crunch,https://youtu.be/fZZK29dMla0?si=BQpGveG4S8WqLjzv,,Beginner,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Elevated Feet Oblique Crunch on Stability Ball,Obliques,Abs,Targets obliques with added instability
6560,Stability Ball Kneeling Rollout,https://youtu.be/gi38qGKDzXY?si=XCqiGVtu482eeeTP,https://youtu.be/2UQx-1dxyY8,Beginner,Abdominals,Rectus Abdominis,Latissimus Dorsi,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Kneeling Stability Ball Rollout,Abs,Lats,Core rollout with added shoulder stability
6561,Stability Ball Single Leg Knee Tuck,https://youtu.be/fv6mxdkTT60?si=1AhvmIbGHoW_9tm9,https://youtu.be/xnOF_sTSppw,Advanced,Abdominals,Rectus Abdominis,,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Single Leg Knee Tuck on Stability Ball,Abs,,Unilateral variation of knee tuck
6562,Stability Ball Single Leg Pike,https://youtu.be/7skasCMLRL8,,Expert,Abdominals,Rectus Abdominis,,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Single Leg Pike on Stability Ball,Abs,,Advanced pike with single leg support
6563,Double Dumbbell Z Press,https://youtu.be/k_kXBEjURUA,https://youtu.be/wce-elEhBHw,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Z Press,Front Delts,Triceps,Overhead press from seated position
6564,Slider Double Kettlebell Overhead Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Sliders,Overhead Reverse Lunge with Kettlebells,Quadriceps,Glutes,Reverse lunge with overhead load
6565,Double Dumbbell Romanian Deadlift,https://youtu.be/Cf3CaHui43A?si=dFPcP6jQEQECmXmY,https://youtu.be/hQgFixeXdZo,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Dumbbell Romanian Deadlift,Hamstrings,Glutes,Standard posterior chain exercise
6566,Single Arm Dumbbell Side Plank,https://youtu.be/2WxwO9E93wI,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Side Plank with Dumbbell,Obliques,Abs,Adds resistance to side plank
6567,Bodyweight Single Leg Glute Bridge,https://youtu.be/z4J188sFD4g,https://youtu.be/_K_di6h2-Wg,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Bodyweight,Single Leg Glute Bridge,Glutes,Hamstrings,Unilateral glute bridge
6568,Dumbbell Glute Bridge,https://youtu.be/JpDDoINkrog,https://youtu.be/FSiUH5jn3Cs,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Dumbbell Glute Bridge,Glutes,Hamstrings,Glute bridge with added resistance
